Curso;Semestre;Período;Nome da Disciplina;ID da Disciplina;ID do Aluno;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR30;VAR31;VAR31b;VAR31c;VAR32a;VAR32b;VAR32c;VAR32d;VAR33;VAR34;VAR35
Letras;2009.2;1;Leitura e Produção de Texto;15;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biologia;2013.2;6;Prática VI ;36;47;4;0;9;13;52;0;0;0;4;0;0;19;3;0;7;39;0;5;0;2;6;237,2;7;178;40;105;35;36;102;5;3;4;0
Administracao;2013.2;3;Economia Brasileira ;29;188;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;5;2;0;3;0;0;0;0
Pedagogia;2014.1;8;Educação e Tecnologia;56;35;13;0;0;0;12;0;0;0;1;0;0;22;3;0;3;4;0;2;0;1;0;76,17;3;19;4;15;6;7;6;0;1;2;0
Administracao;2010.1;1;Introdução à Economia;8;836;9;0;0;1;65;0;0;0;0;1;0;11;1;0;14;7;0;0;0;0;2;12,96;14;68;0;24;9;11;48;0;1;1;0
Letras;2011.1;4;Prática IV;45;101;49;0;0;15;194;0;0;1;1;1;0;11;1;0;8,5;15;0;0;0;0;5;97,29;8,5;137;0;83;51;40;45;1;2;4;0
Pedagogia;2014.2;1;Fundamentos Sociológicos da Educação ;109;1824;3;1;4;41;30;0;0;1;1;2;0;13;2;0;31,77;87;0;5;3;0;5,4615;63,84;31,77;142;18;60;56;45;41;0;2;16;0
Letras;2011.1;4;Psicologia Evolutiva;44;185;13;0;0;15;181;0;0;1;1;3;0;21;3;0;0;41;0;0;0;0;3;104,3;0;88;0;51;12;26;49;1;2;4;0
Pedagogia;2014.1;8;Avaliação da Aprendizagem;50;256;4;0;0;4;9;0;0;0;3;1;0;0;0;0;0;7;0;0;0;0;1;80,49;0;35;6;24;17;12;6;0;0;3;0
Letras;2014.2;5;Prática V. (5º);97;485;11;0;0;6;54;0;0;1;1;1;0;0;0;0;0;6;0;0;0;0;1,0385;2,72;0;27;9;16;8;17;2;0;0;1;0
Pedagogia;2014.2;1;Prática Pedagógica I ;111;1898;28;0;19;67;61;0;0;1;1;8;0;19;3;0;33,12;13;0;1;4;1;2,8846;47,81;33,12;75;16;37;15;12;48;0;2;3;0
Administracao;2011.1;3;Instituições de Direito Público e Privado;36;834;114;1;6;25;89;0;0;0;0;6;0;11;1;0;1,5;69;0;0;0;0;8;96,04;1,5;231;0;108;92;76;63;0;2;4;0
Pedagogia;2014.2;1;Psicologia do Desenvolvimento ;112;1673;11;0;0;0;1;0;0;1;1;0;0;16;2;0;21,26;5;0;2;1;2;2,7308;55,52;21,26;71;16;30;17;26;27;1;2;3;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;1890;37;0;0;0;2;0;0;0;0;0;0;21;3;0;23,5;17;0;0;0;0;1;60,6;23,5;50;13;29;11;18;21;0;2;2;0
Biologia;2013.2;6;Zoologia dos Vertebrados ;37;213;65;0;7;16;58;0;0;4;2;0;0;16;2;0;6;16;0;3;0;1;4;244,27;6;111;5;79;25;28;51;7;2;4;0
Pedagogia;2016.1;8;Educação e Trabalho;65;851;9;2;0;15;9;0;0;0;1;2;0;19;3;0;11,5;16;0;0;0;2;4;71,38;11,5;114;44;66;56;21;37;0;2;4;0
Biologia;2014.2;1;Citologia (1º);48;1245;6;1;0;1;19;0;0;0;0;0;0;21;3;0;0,11;3;0;1;0;0;0,00005769;30,53;0,11;15;4;6;2;4;9;0;1;1;0
Pedagogia;2016.1;4;Pesquisa em Educação;60;1790;16;0;0;1;3;0;0;0;1;0;0;19;3;0;4,5;22;0;0;3;2;5;94;4,5;130;27;85;31;31;67;1;2;3;0
Biologia;2016.1;4;Pratica IV;37;1372;5;0;0;0;0;0;0;0;0;0;0;14;2;1;0;0;0;0;0;0;0;0;0;10;0;6;0;5;5;0;0;0;0
Biologia;2014.1;4;Bioquímica I;43;235;4;0;2;2;11;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;1;74,83;0;29;7;19;6;12;11;0;0;2;0
Biologia;2014.1;4;Filosofia da Educação;45;91;3;0;7;9;17;0;0;0;2;0;0;0;4;0;4;15;0;10;0;0;2;63,38;4;71;16;49;13;13;38;7;1;5;2
Letras;2014.1;4;Linguística II;54;260;5;0;1;27;61;0;0;0;0;3;0;10;1;0;3;15;0;1;0;1;3;67,98;3;102;16;60;26;40;36;0;1;2;0
Pedagogia;2014.2;5;Gestão de Pessoas (5º);119;853;31;0;0;3;7;0;0;0;4;0;0;20;3;0;0,14;15;0;1;0;1;2,5;81,92;0,14;65;21;23;10;17;35;3;1;4;0
Letras;2014.2;1;Fundamentos Sócio Filosóficos da Educação  (1º);86;1476;9;0;0;29;52;0;0;2;5;1;3;11;1;0;3,44;22;0;2;16;0;3,6923;53,84;3,44;96;17;36;23;41;32;0;2;7;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;1898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Letras;2016.1;4;Psicologia Evolutiva;52;1488;3;0;0;2;52;0;0;0;0;0;0;8;1;1;26;34;0;0;0;0;6;69,76;26;174;45;79;51;92;30;1;2;5;0
Administracao;2013.2;3;Instituições de Direito Público e Privado ;30;144;3;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;9;0;2;9;0;0;0;0
Pedagogia;2014.1;4;Planejamento Educacional;48;401;8;0;0;0;2;0;0;0;2;0;0;19;3;0;0;24;0;1;0;1;1;80,13;0;51;14;35;12;25;14;0;1;4;0
Pedagogia;2011.2;3;Prática Pedagogica III;51;83;154;0;17;33;47;0;0;3;0;2;0;11;1;0;4;32;0;0;0;0;8;69,19;4;227;0;117;46;85;80;16;2;3;0
Administracao;2014.2;1;Metodologia de Estudo (1º);74;1193;3;1;0;130;115;0;0;2;1;6;2;12;2;0;0,5;30;0;2;2;1;10,0385;79,27;0,5;261;16;62;64;105;89;3;1;9;0
Pedagogia;2011.2;3;História da Educação no Brasil;47;205;7;0;0;0;24;0;0;0;1;0;0;18;3;0;18,5;9;0;0;0;0;1;77,11;18,5;39;0;29;10;14;15;0;2;4;0
Biologia;2014.2;1;Informática Aplicada à Biologia(1º);54;1231;8;0;0;2;20;0;0;1;1;0;0;18;3;0;0,23;5;0;1;8;0;0,00006923;19,48;0,23;18;1;9;3;3;12;0;1;1;0
Pedagogia;2012.1;4;Currículo e Contemporaneidade;56;136;22;0;0;4;36;0;0;0;0;2;0;12;2;1;0;27;0;0;0;0;5;96,3;0;148;0;94;46;45;57;0;1;4;0
Pedagogia;2014.2;1;Fundamentos Filosóficos da Educação ;108;1940;7;0;16;23;30;0;0;0;0;1;0;8;1;0;35,06;10;0;1;0;1;2,7308;68,11;35,06;71;19;30;12;56;2;1;2;4;0
Administracao;2011.2;4;Direito Administrativo;40;829;17;0;3;26;95;0;0;0;1;4;0;7;1;2;0;18;0;0;0;0;4;88,98;0;113;0;85;43;30;38;2;0;5;0
Pedagogia;2014.1;4;Prática Pedagógica IV;49;116;29;0;0;0;3;0;0;0;0;0;0;23;3;0;3;6;0;2;0;1;1;78,77;3;42;5;30;8;17;17;0;1;2;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;841;20;0;0;0;2;0;0;4;1;0;0;11;1;0;7;17;0;0;2;2;2;92,51;7;77;9;35;30;22;25;0;2;7;0
Pedagogia;2016.1;4;Educação e Multiculturalismo;59;1766;20;0;0;0;4;0;0;0;0;0;0;15;2;0;23;7;0;0;0;2;1;67,12;23;47;15;23;6;35;6;0;2;3;0
Pedagogia;2014.2;1;Linguagem na Produção do Conhecimento ;110;1688;19;0;10;25;42;0;0;1;2;3;0;0;3;0;21,59;7;0;4;6;2;3,1538;54,71;21,59;82;23;41;13;17;46;6;2;3;0
Pedagogia;2013.2;3;Movimentos Sociais;33;407;64;0;0;19;16;0;0;0;0;0;0;18;3;0;1;18;0;3;0;2;6;225,72;1;168;24;88;31;38;89;10;2;3;0
Biologia;2014.2;1;História da Biologia (1º);52;1339;46;0;0;33;70;0;0;1;1;0;0;8;1;0;0,39;11;0;2;0;0;5,5385;63,02;0,39;144;12;64;76;28;39;1;2;4;0
Letras;2011.1;4;Prática IV;45;201;60;3;0;169;283;0;0;0;3;14;0;14;2;0;25;36;0;0;0;0;9;87,83;25;256;0;116;84;113;55;4;2;5;0
Pedagogia;2016.1;4;Planejamento Educacional;61;1841;4;0;0;9;9;0;0;0;0;0;0;19;3;0;0;12;0;0;0;2;3;87,57;0;100;16;54;21;36;42;1;2;2;0
Pedagogia;2013.2;7;Projeto de Pesquisa;42;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2012.1;4;Fundamentos da Educação Infantil;54;205;8;0;0;0;16;0;0;0;3;0;0;15;2;2;0;10;0;0;0;0;1;94,2;0;37;0;15;5;25;7;0;0;3;0
Biologia;2016.1;4;Filosofia da Educacao;35;1386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2014.2;1;Antropologia ;105;1738;5;0;9;11;19;0;0;0;0;2;1;14;2;0;63,4;16;0;0;3;0;1,6538;37,95;63,4;43;11;22;10;31;2;0;1;4;0
Administracao;2010.1;1;Matemática Básica;6;834;59;0;6;115;157;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;9;0;0;259;0;87;81;80;97;1;0;0;0
Pedagogia;2011.2;3;Movimentos Sociais;49;191;4;0;6;13;54;0;0;0;1;0;0;17;2;0;31,5;70;0;0;0;0;7;67,53;31,5;188;0;90;57;81;23;27;2;4;0
Pedagogia;2014.1;8;Relações Interpessoais e Dinâmica de Grupo;54;251;15;0;0;2;19;0;0;0;1;0;0;17;2;0;18;12;0;1;0;1;1;0;18;41;11;27;10;23;7;1;1;2;0
Letras;2013.2;3;Linguística I;33;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
Biologia;2014.1;4;Genética Geral;46;212;7;1;4;7;14;0;0;0;7;1;0;15;2;0;4;30;0;1;0;0;1;77,65;4;46;20;31;22;13;11;0;1;7;1
Pedagogia;2014.1;4;Currículo e Contemporaneidade;44;5;30;0;0;5;23;0;0;0;0;3;0;20;3;0;2;13;0;2;0;1;1;59,51;2;39;7;26;4;19;16;0;1;2;0
Biologia;2014.1;7;Educação Ambiental;51;345;5;0;7;7;21;0;0;0;4;0;0;10;1;0;0;12;0;1;0;0;2;66,9;0;69;1;42;15;30;22;2;1;2;0
Pedagogia;2013.2;7;Prática Pedagógica VII;41;479;7;0;3;17;12;0;0;2;0;3;0;18;3;0;2,5;13;0;2;0;2;7;209,89;2,5;205;12;82;35;60;104;6;2;2;0
Pedagogia;2016.1;8;Educação e Trabalho;65;829;3;0;0;0;3;0;0;0;0;0;0;11;1;0;0,5;0;0;0;0;2;0;0;0,5;22;4;17;6;7;9;0;2;0;0
Biologia;2016.1;8;Sociologia da Educação;46;207;9;0;0;22;35;0;0;3;4;1;0;13;2;0;15;25;1;0;3;0;3;83,56;15;100;24;44;2;47;51;0;2;5;0
Pedagogia;2016.1;8;Educação e Trabalho;65;1146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2013.2;3;Metodologia Cientifica;31;367;8;0;0;0;3;0;0;0;0;0;0;22;3;0;0;19;0;1;0;1;2;233,84;0;77;5;55;11;47;19;0;1;4;0
Letras;2016.1;4;Literatura Brasileira I;49;1536;6;0;0;1;54;0;0;0;2;0;0;9;1;0;21;9;0;0;0;0;3;74,05;21;95;10;71;43;36;16;0;3;3;0
Pedagogia;2011.1;2;Informática na Educação;35;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Letras;2011.2;5;Psicologia da Aprendizagem;68;94;21;0;0;29;69;0;0;0;0;4;0;12;2;0;1;37;0;0;0;0;5;84,05;1;144;0;96;39;43;62;0;2;6;0
Pedagogia;2011.2;3;Movimentos Sociais;49;67;11;0;1;3;27;0;0;0;0;1;0;18;3;0;16,5;16;0;0;0;0;1;87,96;16,5;39;0;29;10;24;5;0;2;5;0
Biologia;2016.1;4;Filosofia da Educacao;35;1223;8;0;0;2;21;0;0;0;0;1;0;10;1;0;8,5;17;0;0;0;0;1;85,38;8,5;43;16;32;15;17;11;0;2;5;0
Administracao;2016.1;4;Sistema de Informações e Comunicação no Setor Público;25;1183;6;1;0;8;23;0;0;2;0;1;0;11;1;0;36,5;21;0;0;0;0;4;94,74;36,5;110;30;57;49;47;13;1;2;8;0
Pedagogia;2014.2;5;Educação de Jovens e Adultos (5º);116;959;15;0;4;6;14;0;0;0;2;0;2;18;3;0;22,63;20;0;2;7;2;4,3462;77,47;22,63;113;8;49;12;16;80;5;2;4;0
Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2013.2;3;Movimentos Sociais;33;341;91;0;0;0;2;0;0;0;1;0;0;16;2;0;41,5;19;0;4;0;2;4;216,7;41,5;115;19;73;7;29;63;16;2;4;0
Biologia;2013.2;3;Psicologia da Aprendizagem ;30;224;5;0;1;5;20;0;0;0;5;1;0;16;3;0;6,33;14;0;4;0;2;5;225,96;6,33;130;8;78;44;39;47;0;3;5;0
Administracao;2011.1;3;Teorias da Administração Pública;38;832;2;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;9;1;5;6;0;0;0;0
Letras;2016.1;4;Morfossintaxe II;50;1481;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0
Pedagogia;2010.2;1;Fundamentos Sociológicos da Educação;18;167;7;0;9;15;67;0;0;2;1;1;0;7;1;0;26;42;2;0;0;0;5;78,57;26;132;0;65;29;41;61;1;2;6;0
Pedagogia;2013.2;3;Organização da Educação Nacional;34;241;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;6;4;1;7;0;0;0;0
Pedagogia;2013.2;7;Libras;40;117;37;8;4;60;33;0;0;0;3;0;0;19;3;0;10,5;51;0;5;0;3;6;236,51;10,5;172;37;82;68;68;33;3;2;5;0
Letras;2010.2;3;Prática III - Gramáticas da Língua Portuguesa;37;191;29;0;0;0;155;0;0;0;0;0;0;21;3;0;8;5;0;0;0;0;2;0;8;62;0;50;24;22;16;0;1;0;0
Biologia;2014.2;1;Metodologia Científica(1º);57;1395;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000385;33,06;0;1;0;1;1;0;0;0;0;1;0
Administracao;2010.1;1;Introdução à Economia;8;774;23;0;30;39;85;0;0;0;0;0;0;18;3;0;14;14;0;0;0;0;4;37,56;14;115;0;67;14;37;64;0;1;3;0
Biologia;2014.2;1;Prática I (1º);58;1396;5;0;0;30;41;0;0;1;0;1;0;20;3;0;11,61;7;0;1;0;0;2,0385;45,94;11,61;53;11;36;7;5;41;0;2;4;0
Letras;2016.1;4;Morfossintaxe II;50;1483;14;0;0;0;50;0;0;0;1;0;0;8;1;1;31,5;16;0;0;1;0;4;65,14;31,5;119;27;71;44;32;40;3;2;4;0
Pedagogia;2016.1;8;Avaliação da Aprendizagem;63;890;12;0;0;2;4;0;0;1;2;1;0;15;2;0;32;8;0;0;0;4;0;43,3;32;20;6;14;4;6;10;0;1;3;0
Letras;2010.1;2;Prática II- Leitura e produção em diferentes gêneros textuais;30;154;8;0;0;123;171;0;0;0;8;11;0;0;0;0;0;31;0;0;0;0;2;77,51;0;66;0;33;17;12;34;3;0;9;0
Letras;2014.2;5;Fundamentos da Educação Especial (5º);93;482;1;0;0;4;23;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0,00003077;0;0;8;2;8;0;2;3;3;0;0;0
Pedagogia;2014.1;4;Educação e Multiculturalismo;45;368;4;0;0;0;5;0;0;0;0;0;0;14;2;0;19;9;0;2;0;1;1;77,95;19;48;9;35;14;19;13;2;1;3;0
Pedagogia;2013.2;3;História da Educação no Brasil;30;382;43;0;0;1;20;0;0;0;0;0;0;17;2;0;3;21;0;3;0;2;3;237,27;3;98;21;54;31;16;47;4;2;4;0
Biologia;2014.2;8;Bioteconologia (8º);65;344;3;0;9;13;15;0;0;2;5;1;0;22;3;0;3,07;34;0;2;0;0;3,8462;53,78;3,07;100;37;54;26;26;48;0;2;7;0
Biologia;2014.1;4;Zoologia Geral;48;219;5;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;11;2;18;0;0;0;0;0
Biologia;2014.2;1;Informática Aplicada à Biologia(1º);54;1233;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,56;0;0;0;0;0;0;0;0;0;1;0
Pedagogia;2016.1;4;Planejamento Educacional;61;1699;4;0;0;3;5;0;0;0;0;0;0;16;2;0;25;28;0;0;3;2;4;82,85;25;114;43;67;21;45;48;0;2;4;0
Pedagogia;2016.1;8;Avaliação da Aprendizagem;63;809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2014.1;4;Currículo e Contemporaneidade;44;204;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;104,87;0;21;6;12;6;7;8;0;0;2;0
Pedagogia;2011.1;2;História da Educação;32;180;9;0;26;46;60;0;0;4;0;15;0;8;1;0;8;32;0;0;0;0;5;71,71;8;139;0;73;15;56;68;0;2;4;0
Pedagogia;2010.2;1;Fundamentos Sociológicos da Educação;18;70;54;0;22;33;93;0;0;0;0;0;0;13;2;0;47;33;0;0;0;0;9;83,03;47;256;0;87;43;51;157;5;1;4;0
Biologia;2011.1;1;Metodologia Científica;19;25;7;0;0;2;104;0;0;0;0;1;0;20;3;1;0;21;0;0;0;0;2;85,66;0;71;0;29;12;8;51;0;0;4;0
Pedagogia;2016.1;4;Pesquisa em Educação;60;1748;5;0;0;1;6;0;0;0;0;1;0;21;3;1;3;1;0;0;0;1;0;0;3;14;2;12;5;3;6;0;1;0;0
Biologia;2016.1;8;Biotecnologia;39;218;5;0;0;10;37;0;0;0;0;0;0;14;2;0;48,5;29;0;0;0;0;4;84,58;48,5;123;36;58;36;37;47;3;2;4;0
Pedagogia;2016.1;4;Pesquisa em Educação;60;1860;33;0;0;5;4;0;0;1;3;0;0;13;2;0;3,5;20;0;0;0;2;2;72,52;3,5;55;21;37;16;21;18;0;2;5;0
Biologia;2016.1;8;Sociologia da Educação;46;366;31;0;2;9;77;0;0;0;4;0;0;18;3;0;3,5;12;0;0;0;0;3;85,15;3,5;95;20;54;5;50;36;4;2;4;0
Pedagogia;2016.1;4;Planejamento Educacional;61;1931;13;0;0;36;33;0;0;0;0;1;0;8;1;0;24,5;31;0;0;0;2;7;68,22;24,5;206;49;95;41;70;93;2;2;4;0
Pedagogia;2014.1;8;Relações Interpessoais e Dinâmica de Grupo;54;197;16;0;0;1;7;0;0;0;1;0;0;0;0;0;0;17;0;0;0;0;4;111,76;0;105;7;45;31;48;25;1;0;3;0
Letras;2014.1;4;Psicologia Evolutiva;58;250;5;0;0;0;24;0;0;1;0;0;0;8;1;0;3;2;0;1;0;1;2;54,46;3;53;4;36;47;4;2;0;1;1;0
Letras;2011.1;4;Morfossintaxe II;46;141;6;0;0;11;208;0;0;0;3;1;0;17;2;0;2,5;33;0;0;0;0;4;102;2,5;111;0;56;12;57;42;0;2;4;0
Pedagogia;2014.1;4;Prática Pedagógica IV;49;47;17;0;0;1;12;0;0;1;0;1;0;9;1;0;0;18;0;2;0;1;2;79,46;0;60;10;39;6;20;34;0;1;2;0
Pedagogia;2010.2;1;Fundamentos Sociológicos da Educação;18;106;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;1;51,86;0;30;0;16;3;13;14;0;0;1;0
Pedagogia;2010.2;1;Linguagem na Produção do Conhecimento;19;216;4;0;1;1;6;0;0;2;0;0;0;23;3;0;47;12;0;0;0;0;0;61,38;47;25;0;10;3;5;17;0;1;3;0
Administracao;2014.2;5;Planejamento e Programação na Administração Pública (5º);84;592;2;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0,00001538;0;0;4;0;3;2;2;0;0;0;0;0
Pedagogia;2013.2;7;Prática Pedagógica VII;41;257;11;0;0;1;17;0;0;0;0;0;0;9;1;0;8,5;4;0;2;0;2;2;200,09;8,5;67;23;45;24;28;15;0;2;1;0
Pedagogia;2013.2;3;Organização da Educação Nacional;34;476;20;0;0;7;24;0;0;0;0;1;0;21;3;0;1,5;7;0;2;0;2;2;240,51;1,5;60;9;28;31;13;16;0;2;2;0
Pedagogia;2016.1;8;Educação e Tecnologias;64;985;3;0;0;12;21;0;0;0;0;1;0;10;1;0;39;13;0;0;0;1;4;77,5;39;112;27;62;43;43;22;4;2;4;0
Biologia;2014.2;1;Citologia (1º);48;1371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2011.1;2;Informática na Educação;35;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Administracao;2013.2;8;Relações Internacionais ;38;133;20;1;1;13;56;0;0;1;2;0;0;10;1;0;0,5;42;0;2;0;2;9;186,91;0,5;248;21;109;103;92;51;2;2;3;1
